"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id
","type
","order id","Sku","description
","quantity","marketplace
","account type","fulfillment","order city
","order state
","order postal
","product sales
","shipping credits
","promotional rebates
","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees
","fba fees
","other transaction fees
","other
","total
"
"1 Jul 2024 4:47:27 am UTC","22390808312","Cancellation","407-0703484-3462764","","Order Cancellation Charge","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-14.75","0","-14.75"
"1 Jul 2024 9:48:36 am UTC","22390808312","Shipping Services
","408-6979356-0775563","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-90.86","0","-90.86"
"1 Jul 2024 9:48:41 am UTC","22390808312","Shipping Services
","407-2840105-6478756","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-90.86","0","-90.86"
"1 Jul 2024 9:48:42 am UTC","22390747912","Shipping Services
","406-3753585-6778704","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-55.46","0","-55.46"
"1 Jul 2024 9:48:48 am UTC","22390808312","Shipping Services
","171-7283978-8730713","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"1 Jul 2024 9:49:00 am UTC","22390747912","Shipping Services
","408-7872470-7555515","","Easy Ship weight handling fees","","Amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-95.58","0","-95.58"
"1 Jul 2024 9:49:21 am UTC","22390808312","Shipping Services
","407-6427995-8532314","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-66.08","0","-66.08"
"1 Jul 2024 9:52:42 am UTC","22390808312","Shipping Services
","402-2719250-0297114","","Easy Ship weight handling fees","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","","","","0","0","0","0","0","0","0","0","0","0","-55.46","0","-55.46"
"1 Jul 2024 11:57:17 am UTC","22390808312","Order
","171-7283978-8730713","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","GANDERBAL DISTRICT","JAMMU & KASHMIR","191131","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"1 Jul 2024 11:58:45 am UTC","22390808312","Order
","407-2840105-6478756","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","AIZAWL","MIZORAM","796001","299.00","0","0","0","0","0","0","0","-17.64","0","-10.62","0","270.74"
"1 Jul 2024 12:00:07 pm UTC","22390808312","Order
","408-7872470-7555515","101_bottle_20L","Transparent Plastic Water Dispenser Bottle - 20L Blue, 20 Liter| 20L water bottle can blue (pack of 1)","3","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Merchant","GURUGRAM","HARYANA","122002","0","0","0","0","0","0","0","0","0","0","0","0","0"
